bcr_patient_barcode,dataset,GATA3,PTEN,XBP1,ESR1,MUC1,FN1,GAPDH
BRCA142,BRCA,3.507375,0.6069285714,3.815083333,4.4125,-0.66225,-0.1605416667,-2.049416667
BRCA143,BRCA,1.57875,0.7868571429,3.119333333,1.894,2.809375,-0.154375,-0.5883333333
BRCA144,BRCA,2.265,0.4581428571,2.972916667,4.47925,3.18575,0.4953333333,-1.841166667
BRCA145,BRCA,-0.40325,0.3545,2.695083333,1.057416667,2.480625,0.6680416667,-0.4390833333
BRCA146,BRCA,2.12175,1.177428571,3.01925,4.03775,3.405375,0.425125,-1.294666667
BRCA147,BRCA,1.455,1.659357143,3.33225,4.248166667,3.274,1.068375,-1.496916667
BRCA148,BRCA,1.271125,0.5450714286,1.789083333,3.6665,2.58675,2.043708333,-1.540166667
BRCA149,BRCA,2.345125,1.133571429,4.487583333,5.339,3.499,-0.13925,-1.5495
BRCA150,BRCA,2.356375,0.7102142857,3.165583333,3.544416667,2.413375,1.63875,-0.8365
BRCA151,BRCA,2.38375,0.519,3.371,4.484,3.19275,0.37675,-1.52675
BRCA152,BRCA,2.1285,0.6747857143,1.953416667,4.634,3.355,0.239875,-1.187916667
BRCA153,BRCA,2.2375,1.067428571,2.8265,1.905083333,0.44475,0.8285416667,-1.1985
BRCA154,BRCA,2.267,-0.2087142857,3.452083333,4.786416667,2.81475,0.09629166667,-1.423333333
BRCA155,BRCA,0.339125,1.403428571,3.06475,-0.06991666667,3.842875,-0.343125,-1.17675
BRCA156,BRCA,2.349625,0.7665714286,2.462083333,3.04125,3.28675,0.6955833333,-0.8236666667
BRCA157,BRCA,3.49425,-0.1094285714,3.820083333,5.244333333,2.59925,-2.241458333,-1.35275
BRCA158,BRCA,0.92275,-1.338071429,3.289416667,4.783916667,1.3165,-0.08725,-1.76675
BRCA159,BRCA,2.12075,1.289071429,3.127,4.39425,3.073,0.1019166667,-0.803
BRCA160,BRCA,1.640375,0.6749285714,2.483,4.787666667,1.857125,0.7844583333,-1.984083333
BRCA161,BRCA,1.9755,1.138357143,2.357583333,3.260666667,2.54675,1.89325,-0.5289166667
BRCA162,BRCA,2.037625,-0.4997142857,2.316083333,3.839,2.86675,1.517041667,-1.011083333
BRCA163,BRCA,2.51825,0.5706428571,3.4245,3.747166667,3.2175,0.9051666667,-2.01325
BRCA164,BRCA,1.120125,0.4819285714,1.4815,3.399416667,3.74,-0.1212083333,-0.2405
BRCA165,BRCA,0.006125,-0.01585714286,1.626916667,-2.105833333,2.063375,0.314125,-0.9280833333
BRCA166,BRCA,2.449875,-0.3697142857,1.893583333,4.007333333,4.046875,-1.39275,-1.638333333
BRCA167,BRCA,2.705,0.8906428571,3.353583333,4.926416667,3.618,1.140833333,-0.6556666667
BRCA168,BRCA,2.8435,-0.7730714286,4.032833333,4.871166667,2.965,0.4677916667,-1.50275
BRCA169,BRCA,1.699125,0.8430714286,1.386083333,3.379583333,2.54075,-1.513125,-1.237083333
BRCA170,BRCA,1.90475,0.9735,2.931583333,2.524916667,3.5365,0.04266666667,-0.4296666667
BRCA171,BRCA,-1.107125,0.6450714286,0.7365833333,-1.399833333,2.34125,0.3393333333,-1.298833333
BRCA172,BRCA,1.9605,0.7701428571,3.301583333,4.628666667,2.833,0.73025,-1.152
BRCA173,BRCA,2.494375,0.4458571429,2.867583333,5.279583333,2.52775,0.1691666667,-1.476166667
BRCA174,BRCA,1.520375,0.6368571429,2.92375,4.876916667,2.508625,1.420833333,-1.039333333
BRCA175,BRCA,1.69175,0.7296428571,3.027083333,4.022083333,2.958375,2.037375,-1.233333333
BRCA176,BRCA,3.0045,-0.06892857143,3.416416667,4.526,1.6895,-0.51825,-0.9950833333
BRCA177,BRCA,2.470625,0.9809285714,3.755833333,3.282083333,0.906625,1.861791667,-1.413416667
BRCA178,BRCA,1.72375,0.6687857143,2.470083333,4.57475,2.944875,0.6631666667,-1.546666667
BRCA179,BRCA,2.16725,1.494357143,2.35925,4.776666667,2.23,1.105666667,-1.112916667
BRCA180,BRCA,1.87125,1.171071429,2.805583333,2.672166667,2.335375,1.974333333,-1.6255
BRCA181,BRCA,-0.16375,0.6095714286,1.266416667,-0.1134166667,1.301625,-0.85575,-1.686
BRCA182,BRCA,-4.942875,-2.398357143,-0.6370833333,-4.11025,0.410375,-1.09025,-1.451166667
BRCA183,BRCA,1.624375,0.4875714286,2.284416667,3.91625,1.210875,0.09608333333,-0.4786666667
BRCA184,BRCA,2.239125,0.1514285714,2.89825,3.860083333,2.299,-0.4352083333,-0.8244166667
BRCA185,BRCA,-1.5975,0.7901428571,0.5850833333,-3.01625,1.115,0.9337916667,-0.1133333333
